U1	I
0.02	0.49
0.04	0.56
0.07	0.64
0.09	0.67
0.12	0.73
0.14	0.68
0.17	0.76
0.19	0.71
0.21	0.69
0.24	0.64
0.26	0.65
0.29	0.68
0.31	0.69
0.34	0.70
0.36	0.64
0.39	0.63
0.41	0.60
0.43	0.68
0.46	0.68
0.48	0.75
0.51	0.62
0.53	0.70
0.56	0.61
0.58	0.76
0.61	0.67
0.63	0.77
0.65	0.61
0.68	0.71
0.70	0.60
0.73	0.82
0.75	0.70
0.78	0.83
0.80	0.65
0.83	0.82
0.85	0.69
0.87	0.88
0.90	0.68
0.92	0.82
0.95	0.62
0.97	0.79
1.00	0.61
1.02	0.80
1.05	0.59
1.07	0.75
1.09	0.59
1.12	0.77
1.14	0.57
1.17	0.78
1.19	0.61
1.22	0.81
1.24	0.63
1.26	0.80
1.29	0.64
1.31	0.82
1.34	0.62
1.36	0.78
1.39	0.61
1.41	0.81
1.44	0.67
1.46	0.80
1.48	0.63
1.51	0.75
1.53	0.65
1.56	0.82
1.58	0.67
1.61	0.74
1.63	0.60
1.66	0.72
1.68	0.66
1.70	0.76
1.73	0.66
1.75	0.69
1.78	0.59
1.80	0.67
1.83	0.64
1.85	0.68
1.88	0.61
1.90	0.62
1.92	0.60
1.95	0.63
1.97	0.68
2.00	0.69
2.02	0.71
2.05	0.68
2.07	0.67
2.10	0.64
2.12	0.74
2.14	0.71
2.17	0.79
2.19	0.68
2.22	0.72
2.24	0.64
2.27	0.80
2.29	0.71
2.31	0.83
2.34	0.66
2.36	0.76
2.39	0.67
2.41	0.86
2.44	0.70
2.46	0.82
2.49	0.61
2.51	0.76
2.53	0.63
2.56	0.81
2.58	0.60
2.61	0.74
2.63	0.55
2.66	0.73
2.68	0.59
2.71	0.79
2.73	0.62
2.75	0.80
2.78	0.62
2.80	0.81
2.83	0.63
2.85	0.81
2.88	0.62
2.90	0.81
2.93	0.63
2.95	0.82
2.97	0.66
3.00	0.83
3.02	0.66
3.05	0.79
3.07	0.61
3.10	0.80
3.12	0.65
3.15	0.78
3.17	0.61
3.19	0.71
3.22	0.62
3.24	0.78
3.27	0.65
3.29	0.74
3.32	0.57
