U1	I
0.02	0.67
0.04	0.60
0.07	0.67
0.09	0.67
0.12	0.80
0.14	0.66
0.17	0.71
0.19	0.61
0.21	0.78
0.24	0.67
0.26	0.76
0.29	0.54
0.31	0.69
0.34	0.61
0.36	0.80
0.39	0.64
0.41	0.77
0.43	0.59
0.46	0.79
0.48	0.62
0.51	0.81
0.53	0.62
0.56	0.77
0.58	0.61
0.61	0.84
0.63	0.64
0.65	0.85
0.68	0.66
0.70	0.85
0.73	0.69
0.75	0.83
0.78	0.60
0.80	0.83
0.83	0.64
0.85	0.80
0.87	0.60
0.90	0.76
0.92	0.63
0.95	0.80
0.97	0.58
1.00	0.72
1.02	0.60
1.05	0.82
1.07	0.71
1.09	0.83
1.12	0.66
1.14	0.78
1.17	0.69
1.19	0.84
1.22	0.70
1.24	0.74
1.26	0.62
1.29	0.71
1.31	0.68
1.34	0.76
1.36	0.68
1.39	0.70
1.41	0.62
1.44	0.68
1.46	0.71
1.48	0.73
1.51	0.71
1.53	0.69
1.56	0.68
1.58	0.68
1.61	0.74
1.63	0.72
1.66	0.76
1.68	0.68
1.70	0.69
1.73	0.63
1.75	0.74
1.78	0.68
1.80	0.79
1.83	0.66
1.85	0.74
1.88	0.68
1.90	0.86
1.92	0.74
1.95	0.85
1.97	0.65
2.00	0.77
2.02	0.64
2.05	0.79
2.07	0.61
2.10	0.76
2.12	0.57
2.14	0.76
2.17	0.62
2.19	0.82
2.22	0.63
2.24	0.82
2.27	0.68
2.29	0.86
2.31	0.69
2.34	0.89
2.36	0.69
2.39	0.91
2.41	0.69
2.44	0.83
2.46	0.64
2.49	0.81
2.51	0.61
2.53	0.79
2.56	0.58
2.58	0.80
2.61	0.66
2.63	0.82
2.66	0.66
2.68	0.78
2.71	0.63
2.73	0.83
2.75	0.67
2.78	0.76
2.80	0.60
2.83	0.69
2.85	0.63
2.88	0.77
2.90	0.66
2.93	0.71
2.95	0.61
2.97	0.68
3.00	0.69
3.02	0.76
3.05	0.67
3.07	0.67
3.10	0.62
3.12	0.66
3.15	0.70
3.17	0.70
3.19	0.70
3.22	0.66
3.24	0.66
3.27	0.67
3.29	0.75
3.32	0.73
3.34	0.78
3.36	0.66
3.39	0.73
3.41	0.64
3.44	0.75
3.46	0.67
3.49	0.76
3.51	0.59
3.54	0.70
3.56	0.61
3.58	0.82
3.61	0.69
3.63	0.79
3.66	0.62
3.68	0.78
3.71	0.64
3.73	0.84
3.76	0.62
3.78	0.79
3.80	0.62
3.83	0.81
3.85	0.66
3.88	0.84
3.90	0.62
3.93	0.79
3.95	0.61
3.98	0.78
4.00	0.60
4.02	0.78
4.05	0.62
4.07	0.82
4.10	0.66
4.12	0.83
4.15	0.66
4.17	0.83
4.20	0.65
4.22	0.79
4.24	0.62
4.27	0.82
4.29	0.67
4.32	0.82
4.34	0.63
4.37	0.76
4.39	0.65
4.42	0.83
4.44	0.69
4.46	0.80
4.49	0.64
4.51	0.75
4.54	0.69
4.56	0.81
4.59	0.70
4.61	0.75
4.63	0.64
4.66	0.74
4.68	0.74
4.71	0.80
4.73	0.76
4.76	0.76
4.78	0.71
4.81	0.73
4.83	0.75
4.85	0.76
4.88	0.78
4.90	0.69
4.93	0.69
4.95	0.64
4.98	0.74
5.00	0.71
5.03	0.74
5.05	0.61
5.07	0.69
5.10	0.60
5.12	0.75
5.15	0.64
5.17	0.73
5.20	0.63
5.22	0.76
5.25	0.63
5.27	0.85
5.29	0.73
5.32	0.85
5.34	0.66
5.37	0.79
5.39	0.64
5.42	0.81
5.44	0.59
5.47	0.75
5.49	0.59
5.51	0.76
5.54	0.59
5.56	0.77
5.59	0.60
5.61	0.79
5.64	0.58
5.66	0.75
5.68	0.57
5.71	0.75
5.73	0.59
5.76	0.78
5.78	0.59
5.81	0.76
5.83	0.60
5.86	0.77
5.88	0.59
5.90	0.71
5.93	0.57
5.95	0.75
5.98	0.63
6.00	0.77
6.03	0.60
6.05	0.73
6.08	0.64
6.10	0.77
6.12	0.67
6.15	0.74
6.17	0.58
6.20	0.69
6.22	0.64
6.25	0.75
6.27	0.67
6.30	0.70
6.32	0.65
6.34	0.74
6.37	0.71
6.39	0.78
6.42	0.72
6.44	0.70
6.47	0.66
6.49	0.65
6.52	0.70
6.54	0.72
6.56	0.72
6.59	0.67
6.61	0.68
6.64	0.66
6.66	0.77
6.69	0.72
6.71	0.81
6.73	0.69
6.76	0.76
6.78	0.68
6.81	0.81
6.83	0.70
6.86	0.82
6.88	0.62
6.91	0.74
6.93	0.61
6.95	0.78
6.98	0.64
7.00	0.79
7.03	0.57
7.05	0.79
7.08	0.65
7.10	0.83
7.13	0.68
7.15	0.84
7.17	0.64
7.20	0.84
7.22	0.64
7.25	0.82
7.27	0.64
7.30	0.82
7.32	0.63
7.35	0.81
7.37	0.61
7.39	0.83
7.42	0.65
7.44	0.85
7.47	0.65
7.49	0.84
7.52	0.71
7.54	0.90
7.57	0.69
7.59	0.85
7.61	0.68
7.64	0.87
7.66	0.73
7.69	0.82
7.71	0.64
7.74	0.75
7.76	0.65
7.78	0.84
7.81	0.70
7.83	0.77
