U1	I
9.76	1.04
9.79	1.18
9.81	0.97
9.84	1.14
9.86	1.01
9.89	1.17
9.91	0.95
9.93	1.12
9.96	0.90
9.98	1.05
10.01	0.91
10.03	1.11
10.06	0.95
10.08	1.15
10.10	0.96
10.13	1.16
10.15	1.02
10.18	1.16
10.20	0.95
10.23	1.10
10.25	0.92
10.28	1.12
10.30	0.97
10.32	1.13
10.35	0.97
10.37	1.11
10.40	0.99
10.42	1.17
10.45	1.04
10.47	1.14
10.50	0.99
10.52	1.12
10.54	1.05
10.57	1.16
10.59	1.05
10.62	1.13
10.64	1.02
10.67	1.09
10.69	1.04
10.72	1.11
10.74	1.05
10.76	1.06
10.79	1.00
10.81	1.05
10.84	1.07
10.86	1.13
10.89	1.13
10.91	1.12
10.94	1.14
10.96	1.13
10.98	1.20
11.01	1.19
11.03	1.21
11.06	1.12
11.08	1.16
11.11	1.07
11.13	1.17
11.15	1.13
11.18	1.23
11.20	1.08
11.23	1.18
11.25	1.05
11.28	1.26
11.30	1.15
11.33	1.23
11.35	1.08
11.37	1.24
11.40	1.09
11.42	1.29
11.45	1.11
11.47	1.26
11.50	1.09
11.52	1.27
11.55	1.11
11.57	1.31
11.59	1.14
11.62	1.31
11.64	1.12
11.67	1.31
11.69	1.13
11.72	1.33
11.74	1.15
11.77	1.35
11.79	1.16
11.81	1.36
11.84	1.19
11.86	1.37
11.89	1.22
11.91	1.41
11.94	1.22
11.96	1.44
11.99	1.28
12.01	1.47
12.03	1.29
12.06	1.44
12.08	1.34
12.11	1.55
12.13	1.43
12.16	1.55
12.18	1.37
12.21	1.52
12.23	1.42
12.25	1.54
12.28	1.44
12.30	1.49
12.33	1.36
12.35	1.49
12.38	1.48
12.40	1.59
12.42	1.51
12.45	1.54
12.47	1.53
12.50	1.62
12.52	1.62
12.55	1.67
12.57	1.62
12.60	1.60
12.62	1.60
12.64	1.58
12.67	1.64
12.69	1.65
12.72	1.67
12.74	1.63
12.77	1.63
12.79	1.58
12.82	1.70
12.84	1.65
12.86	1.72
12.89	1.58
12.91	1.65
