U1	I
0.02	0.97
0.04	0.96
0.07	0.80
0.09	0.80
0.12	0.63
0.14	0.81
0.17	0.62
0.19	0.79
0.21	0.61
0.24	0.80
0.26	0.67
0.29	0.81
0.31	0.62
0.34	0.76
0.36	0.65
0.39	0.85
0.41	0.71
0.43	0.78
0.46	0.63
0.48	0.75
0.51	0.68
0.53	0.79
0.56	0.66
0.58	0.71
0.61	0.59
0.63	0.68
0.65	0.67
0.68	0.74
0.70	0.69
0.73	0.72
0.75	0.68
0.78	0.73
0.80	0.76
0.83	0.77
0.85	0.76
0.87	0.70
0.90	0.66
0.92	0.63
0.95	0.68
0.97	0.66
1.00	0.72
1.02	0.61
1.05	0.66
1.07	0.60
1.09	0.73
1.12	0.70
1.14	0.80
1.17	0.63
1.19	0.74
1.22	0.63
1.24	0.82
1.26	0.72
1.29	0.80
1.31	0.61
1.34	0.75
1.36	0.61
1.39	0.80
1.41	0.62
1.44	0.73
1.46	0.54
1.48	0.75
1.51	0.64
1.53	0.82
1.56	0.65
1.58	0.82
1.61	0.67
1.63	0.87
1.66	0.67
1.68	0.83
1.70	0.64
1.73	0.83
1.75	0.64
1.78	0.81
1.80	0.61
1.83	0.80
1.85	0.65
1.88	0.83
1.90	0.64
1.92	0.83
1.95	0.67
1.97	0.85
2.00	0.65
2.02	0.76
2.05	0.62
2.07	0.76
2.10	0.60
2.12	0.72
2.14	0.54
2.17	0.67
2.19	0.59
2.22	0.75
2.24	0.67
2.27	0.76
2.29	0.62
2.31	0.71
2.34	0.66
2.36	0.76
2.39	0.68
2.41	0.67
2.44	0.61
2.46	0.71
2.49	0.72
2.51	0.78
2.53	0.72
2.56	0.68
2.58	0.68
2.61	0.68
2.63	0.70
2.66	0.71
2.68	0.70
2.71	0.64
2.73	0.67
2.75	0.62
2.78	0.75
2.80	0.70
2.83	0.75
2.85	0.66
2.88	0.71
2.90	0.63
2.93	0.76
2.95	0.63
2.97	0.75
3.00	0.58
3.02	0.72
3.05	0.62
3.07	0.81
3.10	0.69
3.12	0.85
3.15	0.64
3.17	0.79
3.19	0.63
3.22	0.77
3.24	0.58
3.27	0.74
3.29	0.55
3.32	0.78
3.34	0.63
3.36	0.82
3.39	0.67
3.41	0.87
3.44	0.67
3.46	0.87
3.49	0.64
3.51	0.81
3.54	0.62
3.56	0.82
3.58	0.61
3.61	0.81
3.63	0.58
3.66	0.78
3.68	0.62
3.71	0.79
3.73	0.62
3.76	0.82
3.78	0.66
3.80	0.81
3.83	0.62
3.85	0.75
3.88	0.60
3.90	0.78
3.93	0.65
3.95	0.76
3.98	0.65
4.00	0.77
4.02	0.70
4.05	0.88
4.07	0.75
4.10	0.81
4.12	0.72
4.15	0.78
4.17	0.76
4.20	0.84
4.22	0.74
4.24	0.74
4.27	0.64
4.29	0.67
4.32	0.67
4.34	0.67
4.37	0.64
4.39	0.61
4.42	0.61
4.44	0.64
4.46	0.71
4.49	0.71
4.51	0.75
4.54	0.67
4.56	0.70
4.59	0.63
4.61	0.73
4.63	0.68
4.66	0.75
4.68	0.60
4.71	0.69
4.73	0.63
4.76	0.77
4.78	0.67
4.81	0.76
4.83	0.61
4.85	0.75
4.88	0.62
4.90	0.79
4.93	0.65
4.95	0.80
4.98	0.62
5.00	0.76
5.03	0.63
5.05	0.80
5.07	0.61
5.10	0.75
5.12	0.55
5.15	0.72
5.17	0.58
5.20	0.76
5.22	0.57
5.25	0.76
5.27	0.59
5.29	0.80
5.32	0.63
5.34	0.79
5.37	0.60
5.39	0.79
5.42	0.63
5.44	0.80
5.47	0.61
5.49	0.78
5.51	0.60
5.54	0.76
5.56	0.59
5.59	0.76
5.61	0.65
5.64	0.78
5.66	0.62
5.68	0.76
5.71	0.66
5.73	0.82
5.76	0.70
5.78	0.78
5.81	0.63
5.83	0.73
5.86	0.66
5.88	0.78
5.90	0.68
5.93	0.71
5.95	0.61
5.98	0.70
6.00	0.69
6.03	0.76
6.05	0.70
6.08	0.70
6.10	0.68
6.12	0.73
6.15	0.75
6.17	0.77
6.20	0.75
6.22	0.72
6.25	0.73
6.27	0.70
6.30	0.77
6.32	0.75
6.34	0.80
6.37	0.71
6.39	0.72
6.42	0.63
6.44	0.74
6.47	0.64
6.49	0.71
6.52	0.56
6.54	0.67
6.56	0.58
6.59	0.77
6.61	0.67
6.64	0.84
6.66	0.67
6.69	0.80
6.71	0.67
6.73	0.89
6.76	0.72
6.78	0.86
6.81	0.63
6.83	0.83
6.86	0.70
6.88	0.87
6.91	0.70
6.93	0.85
6.95	0.65
6.98	0.83
7.00	0.62
7.03	0.79
7.05	0.59
7.08	0.76
7.10	0.59
7.13	0.76
7.15	0.60
7.17	0.80
7.20	0.63
7.22	0.82
7.25	0.67
7.27	0.88
7.30	0.74
7.32	0.90
7.35	0.70
7.37	0.84
7.39	0.70
7.42	0.84
7.44	0.69
