U1	I
0.02	0.53
0.04	0.52
0.07	0.67
0.09	0.64
0.12	0.81
0.14	0.62
0.17	0.80
0.19	0.58
0.21	0.76
0.24	0.58
0.26	0.75
0.29	0.59
0.31	0.74
0.34	0.59
0.36	0.77
0.39	0.59
0.41	0.76
0.43	0.61
0.46	0.77
0.48	0.64
0.51	0.76
0.53	0.58
0.56	0.70
0.58	0.62
0.61	0.78
0.63	0.68
0.65	0.78
0.68	0.62
0.70	0.75
0.73	0.69
0.75	0.77
0.78	0.70
0.80	0.74
0.83	0.66
0.85	0.77
0.87	0.73
0.90	0.79
0.92	0.73
0.95	0.69
0.97	0.63
1.00	0.64
1.02	0.64
1.05	0.64
1.07	0.65
1.09	0.62
1.12	0.62
1.14	0.60
1.17	0.70
1.19	0.70
1.22	0.77
1.24	0.66
1.26	0.69
1.29	0.63
1.31	0.77
1.34	0.68
1.36	0.78
1.39	0.63
1.41	0.71
1.44	0.63
1.46	0.79
1.48	0.68
1.51	0.82
1.53	0.64
1.56	0.79
1.58	0.67
1.61	0.81
1.63	0.66
1.66	0.79
1.68	0.59
1.70	0.75
1.73	0.61
1.75	0.78
1.78	0.61
1.80	0.75
1.83	0.59
1.85	0.74
1.88	0.57
1.90	0.74
1.92	0.58
1.95	0.78
1.97	0.62
2.00	0.78
2.02	0.63
2.05	0.82
2.07	0.63
2.10	0.82
2.12	0.64
2.14	0.82
2.17	0.67
2.19	0.82
2.22	0.62
2.24	0.76
2.27	0.60
2.29	0.77
2.31	0.62
2.34	0.73
2.36	0.56
2.39	0.69
2.41	0.61
2.44	0.75
2.46	0.63
2.49	0.71
2.51	0.58
2.53	0.68
2.56	0.66
2.58	0.74
2.61	0.64
2.63	0.67
2.66	0.61
2.68	0.69
2.71	0.69
2.73	0.71
2.75	0.71
2.78	0.70
2.80	0.67
2.83	0.71
2.85	0.69
2.88	0.70
2.90	0.74
2.93	0.66
2.95	0.67
2.97	0.63
3.00	0.72
3.02	0.75
3.05	0.80
3.07	0.65
3.10	0.71
3.12	0.65
3.15	0.80
3.17	0.70
3.19	0.77
3.22	0.61
3.24	0.74
3.27	0.62
3.29	0.79
3.32	0.64
3.34	0.76
3.36	0.58
3.39	0.75
3.41	0.62
3.44	0.83
3.46	0.65
3.49	0.81
3.51	0.66
3.54	0.84
3.56	0.68
3.58	0.85
3.61	0.64
3.63	0.82
3.66	0.61
3.68	0.80
3.71	0.62
3.73	0.78
3.76	0.63
3.78	0.81
3.80	0.61
3.83	0.81
3.85	0.61
3.88	0.81
3.90	0.64
3.93	0.80
3.95	0.64
3.98	0.83
4.00	0.65
4.02	0.83
4.05	0.63
4.07	0.77
4.10	0.65
4.12	0.83
4.15	0.70
4.17	0.81
4.20	0.62
4.22	0.76
4.24	0.67
4.27	0.80
4.29	0.70
4.32	0.74
4.34	0.62
4.37	0.72
4.39	0.68
4.42	0.79
4.44	0.72
4.46	0.71
4.49	0.66
4.51	0.69
4.54	0.70
4.56	0.73
4.59	0.67
4.61	0.64
4.63	0.63
4.66	0.63
4.68	0.71
4.71	0.72
4.73	0.74
4.76	0.67
4.78	0.68
4.81	0.63
4.83	0.73
4.85	0.68
4.88	0.73
4.90	0.58
4.93	0.66
4.95	0.56
4.98	0.69
5.00	0.59
5.03	0.72
5.05	0.57
5.07	0.72
5.10	0.60
5.12	0.78
5.15	0.66
5.17	0.80
5.20	0.58
5.22	0.74
5.25	0.58
5.27	0.78
5.29	0.63
5.32	0.78
5.34	0.62
5.37	0.81
5.39	0.63
5.42	0.82
5.44	0.61
5.47	0.78
5.49	0.63
5.51	0.77
5.54	0.58
5.56	0.76
5.59	0.58
5.61	0.78
5.64	0.59
5.66	0.75
5.68	0.60
5.71	0.76
5.73	0.58
5.76	0.77
5.78	0.60
5.81	0.79
5.83	0.66
5.86	0.80
5.88	0.64
5.90	0.78
5.93	0.64
5.95	0.83
5.98	0.66
6.00	0.74
6.03	0.58
6.05	0.69
6.08	0.62
6.10	0.74
6.12	0.63
6.15	0.70
6.17	0.60
6.20	0.69
6.22	0.71
6.25	0.78
6.27	0.72
6.30	0.71
6.32	0.66
6.34	0.71
6.37	0.73
6.39	0.73
6.42	0.73
6.44	0.67
6.47	0.68
6.49	0.68
6.52	0.75
6.54	0.74
6.56	0.80
6.59	0.68
6.61	0.75
6.64	0.67
6.66	0.77
6.69	0.71
6.71	0.80
6.73	0.63
6.76	0.73
6.78	0.62
6.81	0.82
6.83	0.70
6.86	0.82
6.88	0.62
6.91	0.78
