U1	I
0.02	1.04
0.04	1.02
0.07	0.82
0.09	0.81
0.12	0.64
0.14	0.80
0.17	0.61
0.19	0.76
0.21	0.62
0.24	0.83
0.26	0.69
0.29	0.80
0.31	0.65
0.34	0.75
0.36	0.67
0.39	0.79
0.41	0.65
0.43	0.71
0.46	0.57
0.48	0.67
0.51	0.64
0.53	0.72
0.56	0.65
0.58	0.70
0.61	0.61
0.63	0.71
0.65	0.73
0.68	0.76
0.70	0.75
0.73	0.72
0.75	0.67
0.78	0.69
0.80	0.73
0.83	0.68
0.85	0.72
0.87	0.64
0.90	0.67
0.92	0.60
0.95	0.71
0.97	0.66
1.00	0.79
1.02	0.63
1.05	0.72
1.07	0.62
1.09	0.78
1.12	0.67
1.14	0.78
1.17	0.57
1.19	0.71
1.22	0.58
1.24	0.77
1.26	0.62
1.29	0.76
1.31	0.58
1.34	0.77
1.36	0.63
1.39	0.80
1.41	0.61
1.44	0.75
1.46	0.58
1.48	0.78
1.51	0.60
1.53	0.77
1.56	0.61
1.58	0.81
1.61	0.65
1.63	0.82
1.66	0.62
1.68	0.80
1.70	0.67
1.73	0.86
1.75	0.68
1.78	0.85
1.80	0.68
1.83	0.85
1.85	0.65
1.88	0.75
1.90	0.62
1.92	0.80
1.95	0.67
1.97	0.82
2.00	0.64
2.02	0.76
2.05	0.69
2.07	0.81
2.10	0.68
2.12	0.74
2.14	0.60
2.17	0.71
2.19	0.66
2.22	0.72
2.24	0.63
2.27	0.65
2.29	0.58
2.31	0.66
2.34	0.66
2.36	0.72
2.39	0.71
2.41	0.69
2.44	0.71
2.46	0.70
2.49	0.75
2.51	0.74
2.53	0.74
2.56	0.66
2.58	0.68
2.61	0.60
2.63	0.71
2.66	0.65
2.68	0.69
2.71	0.58
2.73	0.68
2.75	0.58
2.78	0.79
2.80	0.68
2.83	0.80
2.85	0.66
2.88	0.79
2.90	0.67
2.93	0.87
2.95	0.67
2.97	0.80
3.00	0.60
3.02	0.79
3.05	0.64
3.07	0.82
3.10	0.61
3.12	0.78
3.15	0.60
3.17	0.82
3.19	0.63
3.22	0.83
3.24	0.67
3.27	0.85
3.29	0.66
3.32	0.84
3.34	0.63
3.36	0.83
3.39	0.63
3.41	0.77
3.44	0.62
3.46	0.80
3.49	0.64
3.51	0.80
3.54	0.59
3.56	0.72
3.58	0.61
3.61	0.76
3.63	0.62
3.66	0.75
3.68	0.58
3.71	0.72
3.73	0.64
3.76	0.76
3.78	0.65
3.80	0.71
3.83	0.59
3.85	0.68
3.88	0.63
3.90	0.74
3.93	0.69
3.95	0.71
3.98	0.64
4.00	0.70
4.02	0.70
4.05	0.74
4.07	0.69
4.10	0.64
4.12	0.63
4.15	0.63
4.17	0.72
4.20	0.72
4.22	0.74
4.24	0.67
4.27	0.73
4.29	0.67
4.32	0.79
4.34	0.71
4.37	0.82
4.39	0.68
4.42	0.75
4.44	0.65
4.46	0.80
4.49	0.69
4.51	0.78
4.54	0.56
4.56	0.70
4.59	0.60
4.61	0.79
4.63	0.68
4.66	0.82
4.68	0.65
4.71	0.85
4.73	0.71
4.76	0.90
4.78	0.69
4.81	0.81
4.83	0.62
4.85	0.79
4.88	0.58
4.90	0.79
4.93	0.58
4.95	0.78
4.98	0.61
5.00	0.78
5.03	0.60
5.05	0.79
5.07	0.59
5.10	0.78
5.12	0.58
5.15	0.76
5.17	0.63
5.20	0.77
5.22	0.58
5.25	0.72
5.27	0.58
5.29	0.79
5.32	0.65
5.34	0.74
5.37	0.61
5.39	0.75
5.42	0.66
5.44	0.79
5.47	0.66
5.49	0.72
5.51	0.62
5.54	0.70
5.56	0.66
5.59	0.73
5.61	0.67
5.64	0.69
5.66	0.63
5.68	0.70
5.71	0.72
5.73	0.75
5.76	0.73
5.78	0.70
5.81	0.67
5.83	0.68
5.86	0.73
5.88	0.72
5.90	0.75
5.93	0.64
5.95	0.68
5.98	0.62
6.00	0.74
6.03	0.69
6.05	0.78
6.08	0.63
6.10	0.77
6.12	0.66
6.15	0.83
6.17	0.71
6.20	0.80
6.22	0.60
6.25	0.73
6.27	0.58
6.30	0.77
6.32	0.58
6.34	0.71
6.37	0.53
6.39	0.70
6.42	0.57
6.44	0.75
6.47	0.58
6.49	0.76
6.52	0.59
6.54	0.77
6.56	0.59
6.59	0.77
6.61	0.59
6.64	0.79
6.66	0.60
6.69	0.78
6.71	0.62
6.73	0.84
6.76	0.67
6.78	0.87
6.81	0.65
6.83	0.85
6.86	0.67
6.88	0.83
6.91	0.62
6.93	0.77
6.95	0.61
6.98	0.80
7.00	0.65
7.03	0.80
7.05	0.62
7.08	0.73
7.10	0.63
7.13	0.77
7.15	0.67
7.17	0.76
7.20	0.62
7.22	0.73
7.25	0.71
7.27	0.80
7.30	0.74
7.32	0.74
7.35	0.66
7.37	0.74
7.39	0.72
7.42	0.76
7.44	0.74
7.47	0.70
7.49	0.70
7.52	0.69
7.54	0.73
7.57	0.75
7.59	0.77
7.61	0.70
7.64	0.72
7.66	0.68
7.69	0.79
7.71	0.75
7.74	0.82
7.76	0.68
7.78	0.76
7.81	0.66
7.83	0.78
7.86	0.65
7.88	0.77
7.91	0.62
7.93	0.76
7.96	0.63
7.98	0.83
8.00	0.69
8.03	0.86
8.05	0.64
8.08	0.80
8.10	0.66
8.13	0.85
8.15	0.67
8.18	0.86
8.20	0.66
8.22	0.87
8.25	0.71
8.27	0.89
8.30	0.71
8.32	0.89
8.35	0.70
8.37	0.90
8.40	0.72
8.42	0.92
8.44	0.72
8.47	0.90
8.49	0.70
8.52	0.85
8.54	0.68
8.57	0.85
8.59	0.65
8.62	0.79
8.64	0.64
8.66	0.84
8.69	0.73
8.71	0.84
8.74	0.66
8.76	0.78
8.79	0.70
8.81	0.87
8.84	0.77
8.86	0.83
8.88	0.71
8.91	0.82
8.93	0.78
8.96	0.89
8.98	0.81
9.01	0.81
9.03	0.75
9.05	0.82
9.08	0.80
9.10	0.86
9.13	0.82
9.15	0.77
9.18	0.74
9.20	0.73
9.23	0.79
9.25	0.78
9.27	0.78
9.30	0.71
9.32	0.74
9.35	0.73
9.37	0.87
9.40	0.81
9.42	0.89
9.45	0.79
9.47	0.86
9.49	0.77
9.52	0.90
9.54	0.78
9.57	0.90
9.59	0.77
9.62	0.90
9.64	0.76
9.67	0.97
9.69	0.84
9.71	0.95
9.74	0.75
9.76	0.90
9.79	0.75
9.81	0.97
9.84	0.78
9.86	0.94
9.89	0.78
9.91	0.96
9.93	0.77
9.96	0.96
9.98	0.75
10.01	0.94
10.03	0.75
10.06	0.91
10.08	0.73
10.10	0.93
10.13	0.76
10.15	0.97
10.18	0.79
10.20	0.96
10.23	0.83
10.25	1.02
10.28	0.84
10.30	0.99
10.32	0.83
10.35	1.00
10.37	0.87
10.40	0.98
10.42	0.81
10.45	0.93
10.47	0.83
10.50	0.99
10.52	0.89
10.54	0.96
10.57	0.86
10.59	0.96
10.62	0.91
10.64	1.00
10.67	0.93
10.69	0.94
10.72	0.86
10.74	0.91
10.76	0.91
10.79	0.98
10.81	0.95
10.84	0.92
10.86	0.92
10.89	0.93
10.91	0.99
10.94	0.99
10.96	1.00
10.98	0.92
11.01	0.92
11.03	0.89
11.06	1.03
11.08	0.96
11.11	1.06
11.13	0.94
11.15	1.02
11.18	0.94
11.20	1.06
11.23	0.94
11.25	1.05
11.28	0.86
11.30	0.98
11.33	0.86
11.35	1.05
11.37	0.91
11.40	1.03
11.42	0.84
11.45	1.02
11.47	0.88
11.50	1.10
11.52	0.90
11.55	1.05
11.57	0.88
11.59	1.11
11.62	0.93
11.64	1.14
11.67	0.93
