U1	I
0.02	1.02
0.04	1.01
0.07	0.80
0.09	0.77
0.12	0.56
0.14	0.77
0.17	0.59
0.19	0.74
0.21	0.56
0.24	0.73
0.26	0.59
0.29	0.78
0.31	0.58
0.34	0.73
0.36	0.60
0.39	0.81
0.41	0.68
0.43	0.80
0.46	0.62
0.48	0.75
0.51	0.66
0.53	0.79
0.56	0.68
0.58	0.75
0.61	0.66
0.63	0.75
0.65	0.70
0.68	0.81
0.70	0.74
0.73	0.73
0.75	0.66
0.78	0.68
0.80	0.67
0.83	0.72
0.85	0.69
0.87	0.65
0.90	0.64
0.92	0.65
0.95	0.71
0.97	0.70
1.00	0.70
1.02	0.62
1.05	0.65
1.07	0.61
1.09	0.71
1.12	0.66
1.14	0.77
1.17	0.66
1.19	0.71
1.22	0.63
1.24	0.77
1.26	0.66
1.29	0.82
1.31	0.63
1.34	0.73
1.36	0.64
1.39	0.79
1.41	0.67
1.44	0.81
1.46	0.58
1.48	0.74
1.51	0.62
1.53	0.76
1.56	0.59
1.58	0.72
1.61	0.54
1.63	0.73
1.66	0.56
1.68	0.75
1.70	0.60
1.73	0.78
1.75	0.62
1.78	0.82
1.80	0.61
1.83	0.81
1.85	0.62
1.88	0.80
1.90	0.63
1.92	0.81
1.95	0.63
1.97	0.79
2.00	0.59
2.02	0.74
2.05	0.61
2.07	0.81
2.10	0.67
2.12	0.79
2.14	0.65
2.17	0.77
2.19	0.66
2.22	0.78
2.24	0.63
2.27	0.70
2.29	0.58
2.31	0.67
2.34	0.64
2.36	0.73
2.39	0.67
2.41	0.71
2.44	0.64
2.46	0.68
2.49	0.68
2.51	0.71
2.53	0.73
2.56	0.66
2.58	0.63
2.61	0.63
2.63	0.71
2.66	0.68
2.68	0.70
2.71	0.59
2.73	0.66
2.75	0.62
2.78	0.74
2.80	0.67
2.83	0.77
2.85	0.62
2.88	0.74
2.90	0.62
2.93	0.74
2.95	0.61
2.97	0.74
3.00	0.56
3.02	0.72
3.05	0.56
3.07	0.76
3.10	0.63
3.12	0.78
3.15	0.58
3.17	0.75
3.19	0.61
3.22	0.82
3.24	0.61
3.27	0.79
3.29	0.61
3.32	0.81
3.34	0.67
3.36	0.83
3.39	0.62
3.41	0.82
3.44	0.62
3.46	0.77
3.49	0.59
3.51	0.76
3.54	0.59
3.56	0.77
3.58	0.59
3.61	0.78
3.63	0.65
3.66	0.77
3.68	0.59
3.71	0.71
3.73	0.58
3.76	0.77
3.78	0.63
3.80	0.74
3.83	0.60
3.85	0.71
3.88	0.64
3.90	0.75
3.93	0.62
3.95	0.70
3.98	0.59
4.00	0.66
4.02	0.64
4.05	0.70
4.07	0.67
4.10	0.68
4.12	0.60
4.15	0.65
4.17	0.66
4.20	0.68
4.22	0.70
4.24	0.63
4.27	0.62
4.29	0.62
4.32	0.70
4.34	0.73
4.37	0.77
4.39	0.67
4.42	0.72
4.44	0.65
4.46	0.75
4.49	0.66
4.51	0.71
4.54	0.57
4.56	0.67
4.59	0.57
4.61	0.79
4.63	0.68
4.66	0.83
4.68	0.68
4.71	0.80
4.73	0.69
4.76	0.85
4.78	0.66
4.81	0.80
4.83	0.58
4.85	0.74
4.88	0.61
4.90	0.76
4.93	0.59
4.95	0.78
4.98	0.59
5.00	0.78
5.03	0.60
5.05	0.78
5.07	0.61
5.10	0.82
5.12	0.61
5.15	0.81
5.17	0.63
5.20	0.80
5.22	0.63
5.25	0.78
5.27	0.61
5.29	0.80
5.32	0.64
5.34	0.79
5.37	0.62
5.39	0.73
5.42	0.63
5.44	0.79
5.47	0.65
5.49	0.75
5.51	0.60
5.54	0.72
5.56	0.67
5.59	0.78
5.61	0.71
5.64	0.71
5.66	0.62
5.68	0.73
5.71	0.69
5.73	0.75
5.76	0.69
5.78	0.68
5.81	0.69
5.83	0.74
5.86	0.76
5.88	0.79
5.90	0.80
5.93	0.76
5.95	0.74
5.98	0.69
6.00	0.77
6.03	0.74
6.05	0.78
6.08	0.67
6.10	0.74
6.12	0.68
6.15	0.82
6.17	0.74
6.20	0.83
6.22	0.68
6.25	0.78
6.27	0.65
6.30	0.77
6.32	0.69
6.34	0.82
6.37	0.64
6.39	0.81
6.42	0.69
6.44	0.90
6.47	0.76
6.49	0.85
6.52	0.65
6.54	0.84
6.56	0.67
6.59	0.82
6.61	0.62
6.64	0.77
6.66	0.57
6.69	0.75
6.71	0.55
6.73	0.76
6.76	0.60
6.78	0.77
6.81	0.61
6.83	0.79
6.86	0.60
6.88	0.80
6.91	0.60
6.93	0.76
6.95	0.60
6.98	0.81
7.00	0.68
7.03	0.85
7.05	0.66
7.08	0.79
7.10	0.67
7.13	0.85
7.15	0.70
7.17	0.79
7.20	0.64
7.22	0.74
7.25	0.67
7.27	0.80
7.30	0.72
7.32	0.79
