U1	I
9.76	1.18
9.79	1.34
9.81	1.13
9.84	1.30
9.86	1.14
9.89	1.31
9.91	1.14
9.93	1.32
9.96	1.15
9.98	1.33
10.01	1.21
10.03	1.37
10.06	1.18
10.08	1.35
10.10	1.20
10.13	1.38
10.15	1.27
10.18	1.36
10.20	1.19
10.23	1.31
10.25	1.20
10.28	1.35
10.30	1.25
10.32	1.32
10.35	1.23
10.37	1.35
10.40	1.31
10.42	1.43
10.45	1.35
10.47	1.35
10.50	1.31
10.52	1.37
10.54	1.36
10.57	1.40
10.59	1.37
10.62	1.35
10.64	1.36
10.67	1.36
10.69	1.40
10.72	1.40
10.74	1.46
10.76	1.39
10.79	1.42
10.81	1.38
10.84	1.49
10.86	1.46
10.89	1.54
10.91	1.37
10.94	1.47
10.96	1.37
10.98	1.51
11.01	1.43
11.03	1.56
11.06	1.37
11.08	1.50
11.11	1.41
11.13	1.64
11.15	1.51
11.18	1.62
11.20	1.40
11.23	1.63
11.25	1.52
11.28	1.66
11.30	1.48
11.33	1.64
11.35	1.48
11.37	1.68
11.40	1.51
11.42	1.71
11.45	1.50
11.47	1.70
11.50	1.53
11.52	1.71
11.55	1.53
11.57	1.71
11.59	1.52
11.62	1.74
11.64	1.54
11.67	1.74
11.69	1.59
11.72	1.77
11.74	1.61
11.77	1.76
11.79	1.63
11.81	1.84
11.84	1.69
11.86	1.83
11.89	1.67
11.91	1.81
11.94	1.74
11.96	1.90
11.99	1.73
12.01	1.82
12.03	1.68
12.06	1.80
12.08	1.75
12.11	1.85
12.13	1.80
12.16	1.88
12.18	1.80
12.21	1.90
12.23	1.92
12.25	2.00
12.28	1.96
12.30	1.94
12.33	1.91
12.35	1.95
12.38	1.97
12.40	1.97
12.42	1.96
12.45	1.91
12.47	1.92
12.50	1.93
12.52	2.01
12.55	2.01
12.57	2.07
12.60	1.98
12.62	2.02
12.64	1.94
12.67	2.03
12.69	1.97
12.72	2.09
12.74	1.91
12.77	2.03
12.79	1.97
12.82	2.17
12.84	2.06
12.86	2.19
12.89	1.99
12.91	2.17
12.94	2.03
12.96	2.20
12.99	2.05
13.01	2.21
13.04	2.02
13.06	2.26
13.08	2.12
13.11	2.30
13.13	2.12
13.16	2.29
13.18	2.11
13.21	2.28
13.23	2.07
13.26	2.26
13.28	2.12
13.30	2.34
13.33	2.14
13.35	2.35
13.38	2.17
13.40	2.35
13.43	2.19
13.45	2.34
13.47	2.16
13.50	2.35
13.52	2.19
13.55	2.37
13.57	2.19
13.60	2.34
13.62	2.24
13.65	2.41
13.67	2.28
13.69	2.39
13.72	2.23
13.74	2.35
13.77	2.25
13.79	2.38
13.82	2.30
13.84	2.35
13.87	2.25
13.89	2.37
13.91	2.35
13.94	2.44
13.96	2.39
13.99	2.39
14.01	2.37
14.04	2.42
14.06	2.38
14.09	2.43
14.11	2.43
14.13	2.36
14.16	2.37
14.18	2.35
14.21	2.42
14.23	2.44
14.26	2.45
14.28	2.38
14.31	2.41
14.33	2.34
14.35	2.47
14.38	2.43
14.40	2.52
14.43	2.42
14.45	2.50
14.48	2.40
14.50	2.56
14.52	2.44
14.55	2.50
14.57	2.32
14.60	2.42
14.62	2.31
14.65	2.49
14.67	2.35
14.70	2.51
14.72	2.37
14.74	2.54
14.77	2.42
14.79	2.63
14.82	2.48
14.84	2.63
14.87	2.45
14.89	2.61
14.92	2.45
14.94	2.62
14.96	2.43
14.99	2.62
15.01	2.46
15.04	2.64
15.06	2.47
15.09	2.64
15.11	2.47
15.14	2.65
15.16	2.48
15.18	2.66
15.21	2.51
15.23	2.71
15.26	2.56
15.28	2.74
15.31	2.59
15.33	2.74
15.36	2.62
15.38	2.75
15.40	2.59
15.43	2.72
15.45	2.64
15.48	2.81
15.50	2.71
15.53	2.79
15.55	2.69
15.57	2.80
15.60	2.74
15.62	2.86
15.65	2.78
15.67	2.82
15.70	2.74
15.72	2.81
15.75	2.82
15.77	2.89
15.79	2.84
15.82	2.85
15.84	2.84
15.87	2.87
15.89	2.95
15.92	2.97
15.94	3.02
15.97	2.97
15.99	2.98
16.01	2.97
16.04	3.07
16.06	3.02
16.09	3.12
16.11	3.00
16.14	3.07
16.16	3.02
16.19	3.19
16.21	3.13
16.23	3.24
16.26	3.06
16.28	3.21
16.31	3.12
16.33	3.31
16.36	3.20
16.38	3.32
16.41	3.18
16.43	3.41
