U1	I
0.02	0.84
0.04	0.81
0.07	0.73
0.09	0.72
0.12	0.70
0.14	0.72
0.17	0.65
0.19	0.71
0.21	0.70
0.24	0.77
0.26	0.76
0.29	0.69
0.31	0.66
0.34	0.66
0.36	0.73
0.39	0.72
0.41	0.72
0.43	0.62
0.46	0.65
0.48	0.61
0.51	0.72
0.53	0.63
0.56	0.72
0.58	0.58
0.61	0.65
0.63	0.59
0.65	0.80
0.68	0.69
0.70	0.81
0.73	0.62
0.75	0.81
0.78	0.72
0.80	0.86
0.83	0.66
0.85	0.79
0.87	0.61
0.90	0.81
0.92	0.65
0.95	0.81
0.97	0.66
1.00	0.80
1.02	0.65
1.05	0.82
1.07	0.62
1.09	0.78
1.12	0.60
1.14	0.79
1.17	0.60
1.19	0.74
1.22	0.55
1.24	0.77
1.26	0.59
1.29	0.77
1.31	0.60
1.34	0.79
1.36	0.65
1.39	0.83
1.41	0.63
1.44	0.79
1.46	0.64
1.48	0.81
1.51	0.66
1.53	0.80
1.56	0.63
1.58	0.74
1.61	0.62
1.63	0.80
1.66	0.69
1.68	0.79
1.70	0.64
1.73	0.74
1.75	0.71
1.78	0.82
1.80	0.71
1.83	0.74
1.85	0.63
1.88	0.70
1.90	0.70
1.92	0.73
1.95	0.65
1.97	0.66
2.00	0.63
2.02	0.66
2.05	0.69
2.07	0.69
2.10	0.72
2.12	0.72
2.14	0.72
2.17	0.70
2.19	0.77
2.22	0.74
2.24	0.80
2.27	0.69
2.29	0.75
2.31	0.67
2.34	0.78
2.36	0.72
2.39	0.80
2.41	0.63
2.44	0.71
2.46	0.57
2.49	0.72
2.51	0.60
2.53	0.71
2.56	0.54
2.58	0.70
2.61	0.59
2.63	0.76
2.66	0.60
2.68	0.74
2.71	0.58
2.73	0.74
2.75	0.59
2.78	0.77
2.80	0.60
2.83	0.76
2.85	0.60
2.88	0.78
2.90	0.62
2.93	0.77
2.95	0.61
2.97	0.83
3.00	0.65
3.02	0.82
3.05	0.63
3.07	0.80
3.10	0.66
3.12	0.81
3.15	0.62
3.17	0.79
3.19	0.60
3.22	0.75
3.24	0.58
3.27	0.70
3.29	0.57
3.32	0.75
3.34	0.64
3.36	0.78
3.39	0.62
3.41	0.74
3.44	0.65
3.46	0.78
3.49	0.65
3.51	0.70
3.54	0.57
3.56	0.67
3.58	0.64
3.61	0.72
3.63	0.65
3.66	0.69
3.68	0.62
3.71	0.71
3.73	0.72
3.76	0.75
3.78	0.74
3.80	0.72
3.83	0.69
3.85	0.70
3.88	0.73
3.90	0.74
3.93	0.78
3.95	0.69
3.98	0.68
4.00	0.65
4.02	0.74
4.05	0.68
4.07	0.73
4.10	0.60
4.12	0.66
4.15	0.58
4.17	0.73
4.20	0.65
4.22	0.73
4.24	0.57
4.27	0.66
4.29	0.57
4.32	0.74
4.34	0.59
4.37	0.72
4.39	0.55
4.42	0.73
4.44	0.63
4.46	0.82
4.49	0.65
4.51	0.78
4.54	0.61
4.56	0.85
4.59	0.71
4.61	0.86
4.63	0.70
4.66	0.88
4.68	0.72
4.71	0.89
4.73	0.67
4.76	0.81
4.78	0.63
4.81	0.79
4.83	0.60
4.85	0.78
4.88	0.60
4.90	0.79
4.93	0.64
4.95	0.80
4.98	0.64
5.00	0.82
5.03	0.65
5.05	0.79
5.07	0.59
5.10	0.72
5.12	0.59
5.15	0.76
5.17	0.65
5.20	0.77
5.22	0.61
5.25	0.74
5.27	0.67
5.29	0.81
5.32	0.70
5.34	0.73
5.37	0.63
5.39	0.74
5.42	0.70
5.44	0.78
5.47	0.69
5.49	0.70
5.51	0.64
5.54	0.69
5.56	0.68
5.59	0.72
5.61	0.70
5.64	0.69
5.66	0.69
5.68	0.70
5.71	0.75
5.73	0.75
5.76	0.78
5.78	0.67
5.81	0.70
5.83	0.63
5.86	0.72
5.88	0.67
5.90	0.76
5.93	0.62
5.95	0.69
5.98	0.61
6.00	0.76
6.03	0.69
6.05	0.81
6.08	0.66
6.10	0.79
6.12	0.69
6.15	0.84
6.17	0.70
6.20	0.81
6.22	0.61
6.25	0.77
6.27	0.61
6.30	0.81
6.32	0.64
6.34	0.80
6.37	0.65
6.39	0.83
6.42	0.63
6.44	0.80
6.47	0.65
6.49	0.83
6.52	0.63
6.54	0.79
6.56	0.63
6.59	0.82
6.61	0.67
6.64	0.86
6.66	0.68
6.69	0.88
6.71	0.69
6.73	0.87
6.76	0.73
6.78	0.87
6.81	0.68
6.83	0.87
6.86	0.72
6.88	0.88
6.91	0.70
6.93	0.81
6.95	0.72
6.98	0.90
7.00	0.77
7.03	0.87
7.05	0.73
7.08	0.85
7.10	0.80
7.13	0.93
7.15	0.82
7.17	0.86
7.20	0.77
7.22	0.87
7.25	0.83
7.27	0.89
7.30	0.78
7.32	0.78
7.35	0.73
7.37	0.79
7.39	0.78
7.42	0.83
7.44	0.81
7.47	0.80
7.49	0.81
7.52	0.81
7.54	0.84
7.57	0.85
7.59	0.85
7.61	0.77
7.64	0.81
7.66	0.75
7.69	0.88
7.71	0.85
7.74	0.94
7.76	0.83
7.78	0.90
7.81	0.81
7.83	0.97
7.86	0.87
7.88	0.95
7.91	0.80
7.93	0.93
7.96	0.81
7.98	0.99
8.00	0.83
8.03	0.94
8.05	0.77
8.08	0.93
8.10	0.80
8.13	1.01
8.15	0.83
8.18	1.01
8.20	0.83
8.22	1.05
8.25	0.88
8.27	1.05
8.30	0.86
8.32	1.02
8.35	0.82
8.37	1.02
8.40	0.84
8.42	1.01
8.44	0.84
8.47	1.02
8.49	0.87
8.52	1.04
8.54	0.88
8.57	1.06
8.59	0.88
8.62	1.05
8.64	0.89
8.66	1.08
8.69	0.96
8.71	1.09
8.74	0.89
8.76	1.03
8.79	0.91
8.81	1.09
8.84	0.96
8.86	1.05
8.88	0.93
8.91	1.05
8.93	0.99
8.96	1.13
8.98	1.04
9.01	1.08
9.03	0.99
9.05	1.05
9.08	1.04
9.10	1.10
9.13	1.02
9.15	1.01
9.18	0.97
9.20	1.00
9.23	1.03
9.25	1.06
9.27	1.04
9.30	1.02
9.32	1.02
9.35	1.03
9.37	1.09
9.40	1.08
9.42	1.12
9.45	1.03
9.47	1.07
9.49	1.02
9.52	1.11
9.54	1.09
9.57	1.20
9.59	1.04
9.62	1.13
9.64	1.04
9.67	1.21
9.69	1.12
9.71	1.21
9.74	1.03
9.76	1.20
9.79	1.10
9.81	1.25
9.84	1.11
9.86	1.23
9.89	1.06
9.91	1.23
9.93	1.09
9.96	1.27
9.98	1.11
10.01	1.25
10.03	1.13
10.06	1.33
10.08	1.15
10.10	1.32
10.13	1.12
10.15	1.32
10.18	1.13
10.20	1.30
10.23	1.11
10.25	1.27
