U1	I
0.02	0.54
0.04	0.55
0.07	0.67
0.09	0.64
0.12	0.74
0.14	0.63
0.17	0.79
0.19	0.64
0.21	0.73
0.24	0.60
0.26	0.70
0.29	0.67
0.31	0.79
0.34	0.69
0.36	0.74
0.39	0.65
0.41	0.72
0.43	0.71
0.46	0.75
0.48	0.69
0.51	0.66
0.53	0.62
0.56	0.64
0.58	0.68
0.61	0.70
0.63	0.73
0.65	0.67
0.68	0.68
0.70	0.66
0.73	0.74
0.75	0.70
0.78	0.75
0.80	0.63
0.83	0.70
0.85	0.63
0.87	0.76
0.90	0.65
0.92	0.74
0.95	0.56
0.97	0.67
1.00	0.55
1.02	0.75
1.05	0.62
1.07	0.76
1.09	0.58
1.12	0.75
1.14	0.60
1.17	0.78
1.19	0.58
1.22	0.75
1.24	0.57
1.26	0.74
1.29	0.58
1.31	0.75
1.34	0.57
1.36	0.77
1.39	0.55
1.41	0.75
1.44	0.58
1.46	0.77
1.48	0.62
1.51	0.82
1.53	0.63
1.56	0.81
1.58	0.62
1.61	0.80
1.63	0.62
1.66	0.77
1.68	0.60
1.70	0.79
1.73	0.65
1.75	0.81
1.78	0.63
1.80	0.76
1.83	0.64
1.85	0.82
1.88	0.69
1.90	0.78
1.92	0.64
1.95	0.78
1.97	0.70
2.00	0.83
2.02	0.71
2.05	0.73
2.07	0.64
2.10	0.72
2.12	0.69
2.14	0.76
2.17	0.68
2.19	0.67
2.22	0.65
2.24	0.69
2.27	0.69
2.29	0.70
2.31	0.68
2.34	0.64
2.36	0.61
2.39	0.58
2.41	0.66
2.44	0.64
2.46	0.67
2.49	0.59
2.51	0.64
2.53	0.60
2.56	0.73
2.58	0.65
2.61	0.76
2.63	0.61
2.66	0.71
2.68	0.65
2.71	0.85
2.73	0.74
2.75	0.85
2.78	0.66
2.80	0.83
2.83	0.70
2.85	0.84
2.88	0.66
2.90	0.79
2.93	0.59
2.95	0.81
2.97	0.64
3.00	0.80
3.02	0.62
3.05	0.79
3.07	0.64
3.10	0.84
3.12	0.62
3.15	0.83
3.17	0.66
3.19	0.85
3.22	0.65
3.24	0.79
3.27	0.61
3.29	0.81
3.32	0.63
3.34	0.79
3.36	0.63
3.39	0.81
3.41	0.68
3.44	0.81
3.46	0.64
3.49	0.76
3.51	0.61
3.54	0.78
3.56	0.66
3.58	0.76
3.61	0.61
3.63	0.71
3.66	0.63
3.68	0.77
3.71	0.67
3.73	0.70
3.76	0.58
3.78	0.67
3.80	0.64
3.83	0.70
3.85	0.61
3.88	0.62
3.90	0.57
3.93	0.62
3.95	0.63
3.98	0.67
4.00	0.66
4.02	0.66
4.05	0.64
4.07	0.64
4.10	0.72
4.12	0.73
4.15	0.77
4.17	0.70
4.20	0.72
4.22	0.69
4.24	0.79
4.27	0.75
4.29	0.84
4.32	0.67
4.34	0.76
4.37	0.65
4.39	0.78
4.42	0.70
4.44	0.79
4.46	0.62
4.49	0.75
4.51	0.65
4.54	0.83
4.56	0.68
4.59	0.78
4.61	0.60
4.63	0.73
4.66	0.59
4.68	0.76
4.71	0.58
4.73	0.73
4.76	0.57
4.78	0.76
4.81	0.61
4.83	0.79
4.85	0.60
4.88	0.80
4.90	0.62
4.93	0.80
4.95	0.59
4.98	0.78
5.00	0.63
5.03	0.81
5.05	0.63
5.07	0.80
5.10	0.63
5.12	0.80
5.15	0.61
