U1	I
0.02	0.79
0.04	0.70
0.07	0.73
0.09	0.71
0.12	0.78
0.14	0.62
0.17	0.70
0.19	0.60
0.21	0.74
0.24	0.65
0.26	0.74
0.29	0.55
0.31	0.71
0.34	0.58
0.36	0.77
0.39	0.63
0.41	0.76
0.43	0.57
0.46	0.74
0.48	0.60
0.51	0.78
0.53	0.59
0.56	0.71
0.58	0.54
0.61	0.74
0.63	0.56
0.65	0.73
0.68	0.56
0.70	0.77
0.73	0.62
0.75	0.78
0.78	0.59
0.80	0.78
0.83	0.60
0.85	0.78
0.87	0.56
0.90	0.76
0.92	0.62
0.95	0.77
0.97	0.61
1.00	0.74
1.02	0.62
1.05	0.84
1.07	0.69
1.09	0.78
1.12	0.64
1.14	0.71
1.17	0.65
1.19	0.78
1.22	0.66
1.24	0.72
1.26	0.63
1.29	0.73
1.31	0.75
1.34	0.81
1.36	0.72
1.39	0.70
1.41	0.65
1.44	0.68
1.46	0.69
1.48	0.70
1.51	0.67
1.53	0.64
1.56	0.65
1.58	0.62
1.61	0.70
1.63	0.66
1.66	0.72
1.68	0.61
1.70	0.68
1.73	0.59
1.75	0.73
1.78	0.68
1.80	0.80
1.83	0.63
1.85	0.77
1.88	0.64
1.90	0.84
1.92	0.69
1.95	0.81
1.97	0.62
2.00	0.78
2.02	0.63
2.05	0.82
2.07	0.61
2.10	0.77
2.12	0.57
2.14	0.72
2.17	0.56
2.19	0.73
2.22	0.56
2.24	0.75
2.27	0.56
2.29	0.73
2.31	0.57
2.34	0.76
2.36	0.59
2.39	0.76
2.41	0.58
2.44	0.78
2.46	0.62
2.49	0.79
2.51	0.63
2.53	0.79
2.56	0.65
2.58	0.84
2.61	0.70
2.63	0.82
2.66	0.67
2.68	0.77
2.71	0.66
2.73	0.78
2.75	0.66
2.78	0.72
2.80	0.59
2.83	0.69
2.85	0.66
2.88	0.75
2.90	0.69
2.93	0.72
2.95	0.66
2.97	0.72
3.00	0.70
3.02	0.73
3.05	0.74
3.07	0.67
3.10	0.68
3.12	0.67
3.15	0.74
3.17	0.75
3.19	0.78
3.22	0.68
3.24	0.73
3.27	0.67
3.29	0.78
3.32	0.71
3.34	0.79
3.36	0.66
3.39	0.75
3.41	0.64
3.44	0.76
3.46	0.64
3.49	0.73
3.51	0.54
3.54	0.65
3.56	0.54
3.58	0.73
3.61	0.59
3.63	0.74
3.66	0.58
3.68	0.75
3.71	0.61
3.73	0.76
3.76	0.55
3.78	0.72
3.80	0.53
3.83	0.72
3.85	0.58
3.88	0.79
3.90	0.62
3.93	0.81
3.95	0.62
3.98	0.81
4.00	0.61
4.02	0.77
4.05	0.58
4.07	0.73
4.10	0.56
4.12	0.75
4.15	0.59
4.17	0.75
4.20	0.57
4.22	0.68
4.24	0.60
4.27	0.78
4.29	0.63
4.32	0.73
4.34	0.59
4.37	0.71
4.39	0.66
4.42	0.76
4.44	0.69
4.46	0.75
4.49	0.65
4.51	0.74
4.54	0.72
4.56	0.78
4.59	0.73
4.61	0.69
4.63	0.65
4.66	0.69
4.68	0.70
4.71	0.72
4.73	0.73
4.76	0.64
4.78	0.67
4.81	0.65
4.83	0.72
4.85	0.71
4.88	0.78
4.90	0.66
4.93	0.71
4.95	0.60
4.98	0.77
5.00	0.70
5.03	0.74
5.05	0.56
5.07	0.68
5.10	0.58
5.12	0.79
5.15	0.64
5.17	0.76
5.20	0.61
5.22	0.77
5.25	0.65
5.27	0.83
5.29	0.65
5.32	0.80
5.34	0.63
5.37	0.84
5.39	0.69
5.42	0.84
5.44	0.68
5.47	0.83
5.49	0.63
5.51	0.79
5.54	0.59
5.56	0.79
5.59	0.62
5.61	0.78
5.64	0.61
5.66	0.77
5.68	0.62
5.71	0.79
5.73	0.59
5.76	0.74
5.78	0.61
5.81	0.82
5.83	0.70
5.86	0.81
5.88	0.64
5.90	0.76
5.93	0.67
5.95	0.80
5.98	0.67
6.00	0.74
6.03	0.63
6.05	0.73
6.08	0.70
6.10	0.80
6.12	0.72
6.15	0.72
6.17	0.67
6.20	0.72
6.22	0.73
6.25	0.76
6.27	0.73
6.30	0.69
6.32	0.72
6.34	0.71
6.37	0.77
6.39	0.74
6.42	0.78
6.44	0.68
6.47	0.69
6.49	0.62
6.52	0.72
6.54	0.65
6.56	0.73
6.59	0.56
6.61	0.69
6.64	0.64
6.66	0.83
6.69	0.71
6.71	0.86
6.73	0.70
6.76	0.87
6.78	0.73
6.81	0.89
6.83	0.73
6.86	0.89
6.88	0.68
6.91	0.88
6.93	0.72
6.95	0.90
6.98	0.72
7.00	0.84
7.03	0.66
7.05	0.84
7.08	0.66
7.10	0.86
7.13	0.68
7.15	0.87
7.17	0.71
7.20	0.89
7.22	0.72
7.25	0.90
7.27	0.72
7.30	0.89
7.32	0.74
7.35	0.94
7.37	0.80
7.39	0.92
7.42	0.75
7.44	0.88
7.47	0.77
7.49	0.94
7.52	0.80
7.54	0.88
7.57	0.77
7.59	0.87
7.61	0.82
7.64	0.94
7.66	0.83
7.69	0.87
7.71	0.80
7.74	0.86
7.76	0.87
7.78	0.91
7.81	0.85
7.83	0.86
7.86	0.83
7.88	0.86
7.91	0.95
7.93	0.96
7.96	0.99
7.98	0.92
8.00	0.95
8.03	0.91
8.05	0.98
8.08	0.90
8.10	0.95
8.13	0.83
8.15	0.89
8.18	0.81
8.20	0.96
8.22	0.88
8.25	0.96
8.27	0.81
8.30	0.93
8.32	0.84
8.35	1.03
8.37	0.90
8.40	1.02
8.42	0.86
8.44	1.04
8.47	0.88
8.49	1.07
8.52	0.88
8.54	1.02
8.57	0.87
8.59	1.04
8.62	0.88
8.64	1.10
8.66	0.94
8.69	1.13
8.71	0.96
8.74	1.12
8.76	0.93
8.79	1.11
8.81	0.93
8.84	1.11
8.86	0.91
8.88	1.08
8.91	0.97
8.93	1.15
8.96	0.96
8.98	1.08
9.01	0.94
9.03	1.16
9.05	1.03
9.08	1.11
9.10	0.97
9.13	1.08
9.15	1.02
9.18	1.16
9.20	1.03
9.23	1.08
9.25	1.00
9.27	1.06
9.30	1.05
9.32	1.12
9.35	1.05
9.37	1.09
9.40	1.04
9.42	1.07
9.45	1.10
9.47	1.13
9.49	1.11
9.52	1.07
9.54	1.07
9.57	1.07
9.59	1.11
9.62	1.13
9.64	1.19
9.67	1.12
9.69	1.13
9.71	1.04
9.74	1.16
9.76	1.12
9.79	1.21
9.81	1.05
9.84	1.14
9.86	1.03
9.89	1.19
9.91	1.09
9.93	1.20
9.96	1.03
9.98	1.17
10.01	1.05
10.03	1.28
10.06	1.12
10.08	1.25
10.10	1.08
10.13	1.23
10.15	1.07
10.18	1.24
10.20	1.06
10.23	1.23
10.25	1.05
10.28	1.25
10.30	1.07
10.32	1.27
10.35	1.12
10.37	1.32
10.40	1.13
10.42	1.35
10.45	1.17
10.47	1.35
10.50	1.17
10.52	1.32
10.54	1.13
10.57	1.35
10.59	1.19
10.62	1.33
10.64	1.15
10.67	1.27
10.69	1.15
10.72	1.31
10.74	1.20
10.76	1.29
10.79	1.15
10.81	1.28
10.84	1.28
10.86	1.40
10.89	1.32
10.91	1.34
10.94	1.27
10.96	1.36
10.98	1.35
11.01	1.37
11.03	1.33
11.06	1.32
11.08	1.31
11.11	1.35
11.13	1.39
11.15	1.39
11.18	1.40
11.20	1.34
11.23	1.39
11.25	1.34
11.28	1.43
11.30	1.39
11.33	1.48
11.35	1.34
11.37	1.41
11.40	1.31
11.42	1.48
11.45	1.37
11.47	1.46
11.50	1.31
11.52	1.46
11.55	1.38
11.57	1.58
11.59	1.43
11.62	1.60
11.64	1.43
11.67	1.62
11.69	1.50
11.72	1.65
11.74	1.42
11.77	1.58
11.79	1.37
11.81	1.56
11.84	1.42
11.86	1.60
11.89	1.44
11.91	1.68
11.94	1.49
11.96	1.72
11.99	1.55
12.01	1.72
12.03	1.54
12.06	1.69
12.08	1.51
12.11	1.72
12.13	1.53
12.16	1.70
12.18	1.53
12.21	1.68
12.23	1.59
12.25	1.79
12.28	1.67
12.30	1.82
12.33	1.69
12.35	1.81
12.38	1.75
12.40	1.89
12.42	1.78
12.45	1.82
12.47	1.71
12.50	1.81
12.52	1.80
12.55	1.88
12.57	1.82
12.60	1.83
12.62	1.81
12.64	1.86
12.67	1.89
12.69	1.92
12.72	1.92
12.74	1.87
12.77	1.91
12.79	1.88
12.82	2.01
12.84	1.97
12.86	2.03
12.89	1.93
12.91	1.98
12.94	1.92
12.96	2.07
12.99	1.96
13.01	2.09
13.04	1.91
13.06	2.01
13.08	1.93
13.11	2.08
13.13	1.96
13.16	2.06
13.18	1.87
13.21	2.04
13.23	1.91
13.26	2.07
13.28	1.89
13.30	2.04
13.33	1.88
13.35	2.07
13.38	1.94
13.40	2.14
13.43	2.00
13.45	2.18
13.47	2.00
13.50	2.18
13.52	1.99
13.55	2.15
13.57	1.95
13.60	2.11
13.62	1.92
13.65	2.10
13.67	1.90
13.69	2.11
13.72	1.94
13.74	2.12
13.77	1.99
13.79	2.20
13.82	2.08
13.84	2.22
13.87	2.01
13.89	2.13
13.91	2.02
13.94	2.15
13.96	2.03
13.99	2.10
14.01	1.98
14.04	2.10
14.06	2.07
14.09	2.18
14.11	2.10
14.13	2.09
14.16	2.05
14.18	2.08
14.21	2.04
14.23	2.10
14.26	2.03
14.28	1.99
14.31	1.97
14.33	1.93
14.35	2.00
14.38	2.03
14.40	2.03
14.43	1.99
14.45	2.01
14.48	1.98
14.50	2.13
14.52	2.07
14.55	2.16
14.57	2.00
14.60	2.07
14.62	2.01
14.65	2.17
14.67	2.03
14.70	2.14
14.72	1.96
14.74	2.13
14.77	2.03
14.79	2.17
14.82	2.00
14.84	2.15
14.87	1.96
14.89	2.15
14.92	1.99
14.94	2.15
14.96	1.97
14.99	2.14
15.01	1.93
15.04	2.11
15.06	1.95
15.09	2.13
15.11	1.95
15.14	2.14
15.16	1.95
15.18	2.13
15.21	1.97
15.23	2.14
15.26	2.00
15.28	2.17
15.31	2.03
15.33	2.25
15.36	2.13
15.38	2.28
15.40	2.09
15.43	2.21
15.45	2.09
15.48	2.29
15.50	2.18
15.53	2.28
15.55	2.17
15.57	2.32
15.60	2.27
15.62	2.44
15.65	2.31
15.67	2.34
15.70	2.27
15.72	2.31
15.75	2.28
15.77	2.34
15.79	2.30
15.82	2.30
15.84	2.28
15.87	2.33
15.89	2.43
15.92	2.45
15.94	2.48
15.97	2.42
15.99	2.49
16.01	2.48
16.04	2.56
16.06	2.52
16.09	2.62
16.11	2.53
16.14	2.61
16.16	2.54
16.19	2.69
16.21	2.62
16.23	2.78
16.26	2.64
16.28	2.78
16.31	2.69
16.33	2.87
16.36	2.79
16.38	2.93
16.41	2.73
16.43	2.90
16.45	2.76
16.48	2.96
16.50	2.82
16.53	2.96
16.55	2.83
16.58	3.05
16.60	2.93
16.63	3.18
16.65	3.03
16.67	3.21
16.70	3.07
16.72	3.26
16.75	3.09
16.77	3.29
16.80	3.11
16.82	3.33
16.84	3.21
16.87	3.43
16.89	3.32
16.92	3.52
16.94	3.35
16.97	3.51
16.99	3.40
17.02	3.62
17.04	3.52
17.06	3.63
17.09	3.54
17.11	3.70
17.14	3.67
17.16	3.82
17.19	3.74
17.21	3.80
17.24	3.74
17.26	3.82
17.28	3.80
17.31	3.89
17.33	3.86
17.36	3.90
17.38	3.89
17.41	3.94
17.43	3.98
17.46	4.02
17.48	4.03
17.50	3.98
17.53	3.99
17.55	3.97
17.58	4.06
17.60	4.06
17.63	4.14
17.65	4.02
17.68	4.07
17.70	4.00
17.72	4.16
17.75	4.06
17.77	4.16
17.80	3.97
17.82	4.11
17.85	4.02
17.87	4.15
17.89	4.01
17.92	4.15
17.94	3.94
17.97	4.13
17.99	3.99
18.02	4.16
18.04	3.99
18.07	4.11
18.09	3.94
18.11	4.17
18.14	3.99
18.16	4.17
18.19	3.97
18.21	4.17
18.24	3.99
18.26	4.16
18.29	3.94
18.31	4.12
18.33	3.94
18.36	4.12
18.38	3.88
18.41	4.07
18.43	3.86
18.46	3.98
18.48	3.79
18.51	3.90
18.53	3.73
18.55	3.94
18.58	3.77
18.60	3.87
18.63	3.71
18.65	3.80
18.68	3.71
18.70	3.84
18.73	3.71
18.75	3.76
18.77	3.62
18.80	3.69
18.82	3.67
18.85	3.73
18.87	3.63
18.90	3.61
18.92	3.54
18.94	3.60
18.97	3.62
18.99	3.60
19.02	3.58
19.04	3.53
19.07	3.51
19.09	3.50
19.12	3.57
19.14	3.53
19.16	3.57
19.19	3.46
19.21	3.47
19.24	3.41
19.26	3.52
19.29	3.42
19.31	3.45
19.34	3.29
19.36	3.38
19.38	3.28
19.41	3.41
19.43	3.26
19.46	3.39
19.48	3.22
19.51	3.33
19.53	3.18
19.56	3.38
19.58	3.21
19.60	3.35
19.63	3.15
19.65	3.33
19.68	3.20
19.70	3.41
19.73	3.21
19.75	3.37
19.78	3.19
19.80	3.35
