tipo	U1[V]	IA[nA]
mínimo	14.26	0.97
máximo	17.94	2.16
mínimo	20.29	1.39
máximo	22.75	3.80
mínimo	25.05	1.79
máximo	27.49	6.43
mínimo	29.81	2.49
máximo	32.45	10.44
mínimo	34.60	3.54
máximo	37.31	16.12
mínimo	39.51	5.32
máximo	42.36	23.34
mínimo	44.56	8.03
máximo	47.37	33.09
mínimo	49.67	13.02
máximo	52.47	46.63
mínimo	54.72	21.86
máximo	56.58	50.00
mínimo	59.82	41.51
