tipo	U1[V]	IA[nA]
mínimo	15.23	1.04
máximo	18.14	2.56
mínimo	20.29	1.53
máximo	22.73	4.86
mínimo	24.78	2.12
máximo	27.54	8.46
mínimo	29.84	2.96
máximo	32.35	13.62
mínimo	34.60	4.33
máximo	37.38	21.05
mínimo	39.60	6.95
máximo	42.44	31.24
mínimo	44.66	11.41
máximo	47.54	44.85
mínimo	49.74	19.55
máximo	51.69	50.00
mínimo	54.79	37.73
